pathway	gene_id
VEGF	VEGFA,VEGFR1,VEGFR2,VEGFB,VEGFC,VEGFR3,VEGFD,PGF,VEGFR1R2,VEGFR2R3,NRP1,NRP2
IGF	IGF1,IGF1R,IGF2,IGF2R,ITGAV,ITGB3,ITGA6,ITGB4,IGFL3,IGFLR1,IGFBP1,IGFBP2,IGFBP3,IGFBP4,IGFBP5,IGFBP6
INSULIN	INS,INSSR,GPC4,PTPRF,ENPP1
APELIN	APLN,APLNR
HH	DHH,PTCH1,IHH,SHH,PTCH2,BOC,HHIP,GAS1,LRP2,CDON
CCL	CCL5,CCR1,CCL3,CCL3L1,CCL3L3,CCL8,CCL7,CCL13,CCL14,CCL15,CCL16,CCL23,CCR2,CCL2,CCL27,CCR3,CCL11,CCL24,CCL26,CCL28,CCL17,CCR4,CCL22,CCL4,CCR5,CCL20,CCR6,CCL19,CCR7,CCL21,ACKR4,CCL1,CCR8,CCL25,CCR9,CCR10,ACKR1,CCL18,ACKR2
CXCL	CXCL1,ACKR1,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,CXCL9,CXCL10,CXCL11,CXCL13,CXCR1,CXCR2,PPBP,PF4V1,CXCR3,PF4,CXCL12,CXCR4,ACKR3,CXCR5,CXCL16,CXCR6
MIF	MIF,CD74,CXCR4,CD44,CXCR2,ACKR3
CX3C	CX3CL1,CX3CR1
XCR	XCL1,XCR1,XCL2
IL2	IL2,IL2RA,IL2RB,IL2RG,IL4,IL4R,IL7,IL7R,IL9,IL9R,IL15,IL15RA,IL21,IL21R,TSLP,CRLF2
IL4	IL3,IL3RA,CSF2RB,IL5,IL5RA,CSF2,CSF2RA,IL4,IL4R,IL13RA1,IL13RA2,IL13
IL6	IL6,IL6R,IL6ST,IL11,IL11RA,IL31,IL31RA,OSMR
IL12	IL12B,IL12RB1,IL12RB2,IL23A,IL23R,EBI3,IL27RA,IL6ST
LIFR	CNTF,CNTFR,LIFR,CLCF1,CTF1,IL6ST,LIF
OSM	OSM,LIFR,IL6ST,OSMR
IL10	IL10,IL10RA,IL10RB,IL19,IL20RA,IL20RB,IL20,IL24,IL22RA1,IL22,IL26
IL1	IL1A,IL1R1,IL1RAP,IL1B,IL1R2,IL1F5,IL1RL2,IL1F6,IL1F8,IL1F9,IL1F10,IL37,IL18R1,IL18RAP,IL18,IL33,IL1RL1,IL1RN
IL17	IL17A,IL17RA,IL17RC,IL17F,IL17AF,IL17B,IL17RB,IL17C,IL17RE,IL25
CSF	IL34,CSF1R,CSF1
IL16	IL16,CD4
EPO	EPO,EPOR
GH	GH1,GHR,GH,PRLR
PRL	PRL,PRLR
THPO	THPO,MPL
CSF3	CSF3,CSF3R
IFN-I	IFNB1,IFNAR1,IFNAR2,IFNW1,IFNK,IFNE,IFNA1,IFNA2,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNA9,IFNA10,IFNA14,IFNA16,IFNA17,IFNA21
IFN-II	IFNG,IFNGR1,IFNGR2
TNF	TNF,TNFRSF1A,TNFRSF1B
LT	LTA,TNFRSF1A,TNFRSF1B,TNFRSF14,LTB,LTBR
LIGHT	TNFSF14,LTBR,TNFRSF14
FASLG	FASL,FAS
VEGI	TNFSF15,TNFRSF25
TRAIL	TNFSF10,TNFRSF10B
EDA	EDA,EDAR,EDA2R
NGF	NGF,NGFR,KLK3
RANKL	TNFSF11,TNFRSF11A,TNFRSF11B
TWEAK	TNFSF12,TNFRSF12A
CD70	CD70,CD27
CD30	TNFSF8,TNFRSF8
CD137	TNFSF9,TNFRSF9
OX40	TNFSF4,TNFRSF4
GITRL	TNFSF18,TNFRSF18
APRIL	TNFSF13,TNFRSF17,TNFRSF13B
BAFF	TNFSF13B,TNFRSF17,TNFRSF13B,TNFRSF13C
CD40	CD40LG,ITGA2B,ITGB3,ITGA5,ITGB1,ITGAM,ITGB2,CD40
SPP1	SPP1,CD44,ITGAV,ITGB3,ITGB1,ITGB5,ITGB6,ITGA4,ITGA9,ITGA8,ITGA5
ADIPONECTIN	ADIPOQ,ADIPOR1,ADIPOR2
RESISTIN	RETN,TLR4,CAP1
VISFATIN	NAMPT,INSR,ITGA5,ITGB1
ANGPTL	ANGPTL1,ITGA1,ITGB1,ANGPTL2,ITGA5,TLR4,PIRB,ANGPTL7,ANGPTL4,ITGAV,ITGB3,CDH5,CDH11,SDC1,SDC2,SDC3,SDC4,ANGPTL3
ANGPT	ANGPT1,TEK,ANGPT2,ITGA5,ITGB1,TIE1,PTPRB
MK	MDK,SDC1,SDC2,SDC4,PTPRZ1,ITGA4,ITGB1,ITGA6,LRP1,NCL,ALK
PTN	PTN,PTPRZ1,SDC1,SDC2,SDC3,SDC4,ITGAV,ITGB3,NCL,ALK
PERIOSTIN	POSTN,ITGAV,ITGB3,ITGB5
AGT	AGT,AGTR1B,MAS1
GPR	GRP,GRPR,NMB,NMBR
BRADYKININ	KNG1,BDKRB1,BDKRB2
COMPLEMENT	C3,C3AR1,CR2,ITGAM,ITGB2,ITGAX,C4A,HC,C5AR1
CCK	CCK,CCKAR,CCKBR
EDN	EDN1,EDNRA,EDN2,EDN3,EDNRB
GALANIN	GAL,GALR1,GALR2,GALR3,GALP
GHRELIN	GHRL,GHSR,LEAP2
KISS1	KISS1,KISS1R
MELANOCORTIN	POMC,MC1R,MC2R,MC3R,MC4R,MC5R,AGRP
NMU	NMU,NMUR1,NMUR2,NMS
NPFF	NPFF,NPFFR1,NPFFR2
NPY	NPY,NPY1R,NPY2R,NPY4R,NPY5R,NPY6R,GPR83,PPY,PYY
NPW-B	NPB,NPBWR1,NPW
NTS	NTS,NTSR1,NTSR2
OPIOID	PDYN,OPRD1,OPRK1,OPRL1,OPRM1,PENK,POMC
HCRT	HCRT,HCRTR1,HCRTR2
OXT	OXT,OXTR
SEMATOSTATIN	SST,SSTR1,SSTR2,SSTR3,SSTR4,SSTR5,CORT
TAC	TAC1,TACR1,TAC4,TACR2,TAC2,TACR3
UTS2	UTS2,UTS2R
AVP	AVP,AVPR2,AVPR1A,AVPR1B
PRLH	PRLH,PRLHR
PARs	PRSS3,F2R,CTSG,F2,PLG,GZMA,PRSS2,PRSS1,F2RL1,F2RL2,F2RL3,PARD3
PMCH	PMCH,MCHR1,MERTK
PROK	PROK1,PROKR2,PROKR1,PROK2
PACAP	ADCYAP1,ADCYAP1R1
VIP	VIP,VIPR1,VIPR2
NPR1	NPPA,NPR1,NPPB
NPR2	NPPC,NPR2
KIT	KITL,KIT
GIPR	GCG,GIPR,GIP
FSH	FSHB,FSHR,CGA
LHB	LHB,LHCGR,CGA
TSH	TSHB,TSHR,CGA
NT	BDNF,NTRK2,NGF,NTRK1,KLK3,NTF3,NTRK3,NTF5,NGFR
FLT3	FLT3L,FLT3
HGF	HGF,MET
SEMA3	SEMA3A,NRP1,PLXNA1,PLXNA2,PLXNA3,PLXNA4,SEMA3B,SEMA3C,SEMA3D,NRP2,SEMA3F,SEMA3G,PLXND1,SEMA3E
CALCR	ADM,CALCR,CALCRL,CALCA,CALCB,IAPP
ANNEXIN	ANXA1,FPR2,FPR1
APJ	APELA,APLNR
CRH	CRH,CRHR1,CRHR2
ENHO	ENHO,GPR19
GAS	GAS6,AXL,MERTK,TYRO3
GCG	GCG,GCGR,GLP1R,GLP2R
GHRH	GHRH,VIPR1,VIPR2,GHSR,GHRHR
GNRH	GNRH1,GNRHR
GRN	GRN,SORT1
GUCA	GUCA2A,GUCY2C,GUCA2B
RLN	INSL3,RXFP2,RXFP1,RXFP4,RXFP3,INSL5,RLN1,RLN3
LEP	LEP,LEPR
GALECTIN	LGALS9,CD45,HAVCR2,CD44
NPS	NPS,NPSR1
NPVF	NPVF,NPFFR1,NPFFR2
OSTN	OSTN,NPR3
PROS	PROS1,AXL,TYRO3
PSAP	PSAP,GPR37L1,GPR37
PTH	PTH,PTH1R,PTH2R,PTH2,PTHLH
QRFP	QRFP,QRFPR
CHEMERIN	RARRES2,GPR1,CMKLR1
SAA	SAA1,FPR2
UGRP1	SCGB3A2,MARCO
SCT	SCT,SCTR
SLURP	SLURP1,CHRNB1,CHRNB2,CHRNB3,CHRNB4,CHRNA1,CHRNA2,CHRNA3,CHRNA4,CHRNA5,CHRNA6,CHRNA9,CHRNA10,CHRND,CHRNE,CHRNG,CHRNA7,SLURP2
BTLA	BTLA,TNFRSF14
TRH	TRH,TRHR
UCN	UCN,CRHR1,CRHR2,UCN2,UCN3
UROTENSIN	UTS2B,UTS2R,SSTR5
BAG	BAG6,NCR3-PS
COLLAGEN	COL1A1,ITGA1,ITGB1,COL1A2,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL6A1,COL6A2,COL6A3,COL6A5,COL6A6,COL9A1,COL9A2,COL9A3,ITGA2,ITGA3,ITGA9,ITGA10,ITGA11,ITGAV,ITGB8,CD44,SDC1,SDC4,GP6
FN1	FN1,ITGA3,ITGB1,ITGA4,ITGA5,ITGA8,ITGAV,ITGB7,ITGB3,ITGA2B,ITGB6,ITGB8,CD44,SDC1,SDC4
LAMININ	LAMA1,ITGA1,ITGB1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,LAMC3,ITGA2,ITGA3,ITGA6,ITGA7,ITGA9,ITGAV,ITGB8,ITGB4,CD44,SV2A,SV2B,SV2C,DAG1
CHAD	CHAD,ITGA2,ITGB1
RELN	RELN,ITGA3,ITGB1
THBS	THBS1,ITGA3,ITGB1,THBS2,THBS3,THBS4,COMP,ITGAV,ITGB3,SDC1,SDC4,CD36,CD47
VTN	VTN,ITGA8,ITGB1,ITGAV,ITGB3,ITGA2B,ITGB5,ITGB8
TENASCIN	TNC,ITGA8,ITGB1,TNR,TNN,TNXB,ITGA9,ITGAV,ITGB3,ITGA2B,ITGB6,SDC1,SDC4
NPNT	NPNT1,ITGA8,ITGB1,NPNT2
DSPP	DSPP,ITGAV,ITGB1,ITGB6
VWF	VWF,ITGAV,ITGB3,ITGA2B,GP1BA,GP1BB,GP5,GP9
BSP	IBSP,ITGAV,ITGB3,ITGB5
DMP1	DMP1,ITGAV,ITGB3
AGRN	AGRN,DAG1
HSPG	HSPG2,DAG1
ADGRE5	ADGRE5,CD55
ALCAM	ALCAM,CD6
ANXA1	ANXA1,FPR2,LXA4
APP	APP,CD74
CADM	CADM1,CADM3
CD22	CD22,PTPRC
CD226	CD226,NECTIN2,PVR
CD23	FCER2A,ITGAM,ITGB2,ITGAX,ITGAV,ITGB3,CR2
CD34	CD34,SELP
CD39	ENTPD1,ADORA1,ADORA2A,ADORA2B,TMIGD3
CD45	PTPRC,CD22,MRC1
CD46	CD46,JAG1
CD48	CD48,CD244A
CD6	CD6,ALCAM
CD80	CD80,CD274,CD28,CTLA4
CD86	CD86,CD28,CTLA4
CD96	CD96,NECTIN1,PVR
CD99	CD99,PILRA,CD99L2
CDH	CDH15,CDH4,CDH2,CDH1
CDH1	CDH1,ITGA1,ITGB1,ITGAE,ITGB7,KLRG1
CDH5	CDH5
CEACAM	CD1D,CEACAM5,CD209,CEACAM1,CD8A,SELE
CLDN	CLDN11
CLEC	CLEC2D,KLRB1,CLEC2A,CLEC2B,CLEC2C,CLEC2L,CLEC1B
CNTN	NFASC,CNTN1,CNTNAP1,CNTN2,CNTNAP2,L1CAM,NRCAM
CSPG4	CSPG4,ITGA2,ITGB1
DESMOSOME	DSC1,DSG1,DSG2,DSC2,DSC3
EPGN	EPGN,EGFR
EPHA	EFNA1,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHA7,EPHA8,EFNA2,EFNA3,EFNA4,EFNA5,EPHB2
EPHB	EFNB1,EPHA4,EPHB1,EPHB2,EPHB3,EPHB4,EFNB2,EFNB3,EPHB6
ESAM	ESAM
GP1BA	GP1BA,ITGAM,ITGB2
ICAM	ICAM1,ITGAX,ITGB2,ITGAL,ICAM2,ITGAM,SPN,ICAM5,CD209
ICOS	ICOSL,ICOS,CD28,CTLA4
ITGB2	ITGB2,CD226,ICAM1,ICAM2
JAM	JAM2,ITGA3,ITGB1,ITGAV,JAM3,ITGAM,ITGB2,JAM1,ITGAL,F11R
L1CAM	L1CAM,ITGAV,ITGB3,ITGA4,ITGB7
LCK	LCK,CD8A,CD8B1
MADCAM	MADCAM1,ITGA4,ITGB7
MAG	MAG
MHC-I	HLA-A,CD8A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,CD8B,CD8B2,KIR2DL1,KIR2DL2,KIR2DL3,KIR2DS1,KIR2DS4,LILRB1,LILRB2,KIR3DL1,KIR3DL2,KIR3DL3,KLRC1,KLRC2,KLRK1,KIR3DS1,CD94:NKG2A,CD94:NKG2C,CD94:NKG2E,ULBP1,RAET1E,RAET1G,RAET1F
MHC-II	HLA-DPA1,CD4,HLA-DPB1,HLA-DQA1,HLA-DMA,HLA-DMB,HLA-DQA2,HLA-DOA,HLA-DOB,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5
MPZ	MPZ,MPZL1
NCAM	NCAM1,FGFR1,NCAM2,L1CAM
NECTIN	NECTIN1,CADM3,CD96,NECTIN4,NECTIN3,NECTIN2,PVR,TIGIT,CD226
NEGR	NEGR1
NGL	LRRC4C,NTNG1,LRRC4,NTNG2,LRRC4B,PTPRF
NKG2D	ULBP1,KLRK1,HCST
NOTCH	DLK1,NOTCH1,NOTCH2,NOTCH3,NOTCH4,DLL1,DLL3,DLL4,JAG1,JAG2
NRXN	NRXN1,NLGN1,NLGN2,NLGN3,NRXN2,NRXN3
OCLN	OCLN
PD-L1	CD274,PDCD1
PDL2	PDCD1LG2,PDCD1
PECAM1	PECAM1
PTPRM	PTPRM
PVR	PVR,CD226,TIGIT
SELE	SELE,CD44,GLG1
SELL	SELL,CD34,PODXL,GLYCAM1,MADCAM1
SELPLG	SELPLG,SELE,SELL,SELP
SEMA4	SEMA4A,NRP1,PLXNA1,PLXNA2,PLXNA3,PLXNA4,PLXNB1,PLXNB2,PLXNB3,SEMA4D,SEMA4C,SEMA4G,CD72
SEMA5	SEMA5A,PLXNA1,SEMA5B,PLXNA3,PLXNB3
SEMA6	SEMA6D,PLXNA1,KDR,TREM2,SEMA6A,PLXNA2,SEMA6B,PLXNA4
SEMA7	SEMA7A,ITGB1,ITGA1,PLXNC1
SN	SIGLEC1,SPN
THY1	THY1,ITGAM,ITGB2,ITGAX,ITGAV,ITGB3
TIGIT	TIGIT,NECTIN2,PVR
VCAM	ITGA4,ITGB1,VCAM1,ITGA9,ITGB7
VISTA	VSIR,IGSF11
